Input,Pred,Gold
"Pria itu memangku tasnya saat menaiki angkutan umum.

select the most plausible cause:
 - Pria itu berjaga-jaga agar tasnya tidak dicuri.
 - Tasnya empuk.

[LABELS_CHOICE]",0,0
"Kulitnya bentol-bentol.

select the most plausible cause:
 - Ia digigit nyamuk.
 - Ia dipatuk ayam .

[LABELS_CHOICE]",0,0
"Bapak saya masuk angin.

select the most plausible cause:
 - Bapak pulang dari salon.
 - Bapak pulang ronda.

[LABELS_CHOICE]",0,1
"Jari bocah itu sakit.

select the most plausible cause:
 - Ia terlalu banyak main enggrang.
 - Ia terlalu banyak main kelereng.

[LABELS_CHOICE]",1,1
"Dia sedih.

select the most plausible cause:
 - Nilai rapornya banyak yang merah.
 - Nilai rapornya banyak yang hijau.

[LABELS_CHOICE]",1,0
"Ibu itu begitu bahagia.

select the most plausible cause:
 - Namanya terpilih di undian arisan.
 - Namanya tidak terpilih di undian arisan.

[LABELS_CHOICE]",1,0
"Orang itu makan nasi porsi kuli.

select the most plausible cause:
 - Orang itu bosan makan nasi.
 - Orang itu belum makan dari kemarin.

[LABELS_CHOICE]",0,1
"Ia merasa geli.

select the most plausible cause:
 - Temannya menggosokkan kemoceng di kakinya.
 - Temannya menggosokkan kentongan di kakinya.

[LABELS_CHOICE]",0,0
"Ia tidak naik kelas.

select the most plausible cause:
 - Ia jarang belajar.
 - Ia takut ketinggian.

[LABELS_CHOICE]",1,0
"Pria itu baru saja selesai solat berjamaah. Ia terkejut.

select the most plausible cause:
 - Bajunya hilang dicuri.
 - Sandalnya hilang dicuri.

[LABELS_CHOICE]",1,1
"Gadis itu ikut latihan saman.

select the most plausible cause:
 - Ia senang ilmu mistis.
 - Ia senang menari.

[LABELS_CHOICE]",1,1
"Pemuda itu makan di warteg.

select the most plausible cause:
 - Dia sedang ingin makan makanan mewah.
 - Dia sedang berhemat.

[LABELS_CHOICE]",1,1
"KPR bapak macet.

select the most plausible cause:
 - Bapak dipecat dari kantor.
 - Bapak jarang membersihkan rumah.

[LABELS_CHOICE]",0,0
"Kakak menjuarai lomba gurindam.

select the most plausible cause:
 - Kakak sangat perkasa.
 - Kakak sangat kreatif.

[LABELS_CHOICE]",1,1
"Bapak itu memesan ojek.

select the most plausible cause:
 - Dia sangat mengantuk.
 - Dia ingin berangkat ke kantor.

[LABELS_CHOICE]",0,1
"Ibu kos datang.

select the most plausible cause:
 - Ia akan mengadakan lomba memasak.
 - Ia ingin menagih bayaran.

[LABELS_CHOICE]",0,1
"Mahasiswa itu terlihat gugup.

select the most plausible cause:
 - Sebentar lagi sidang pidana.
 - Sebentar lagi sidang skripsi.

[LABELS_CHOICE]",1,1
"Ia berlatih gerakan kuda-kuda.

select the most plausible cause:
 - Ia sedang belajar silat.
 - Ia sedang belajar naik kuda.

[LABELS_CHOICE]",1,0
"Kakinya kapalan.

select the most plausible cause:
 - Ia seorang nahkoda kapal.
 - Ia jarang pakai alas kaki.

[LABELS_CHOICE]",0,1
"Pengusaha kelas kakap itu akhirnya jatuh juga.

select the most plausible cause:
 - Hotel-hotel miliknya sepi pengunjung karena pandemi.
 - Ikan kakap yang dijualnya jatuh dari meja.

[LABELS_CHOICE]",0,0
"Wanita itu sangat ingin menjadi artis.

select the most plausible effect:
 - Ia menekuni seni melukis dan menggambar.
 - Ia mencoba mengadu nasib dengan mengikuti audisi penyanyi.

[LABELS_CHOICE]",1,1
