Question,Label
sponge absorb sunlight,1
chef chop wood,1
knife destroy cloth,1
man fish ice,1
finger hook cup,1
bear pet horse,1
boat shake canoe,1
fist tap finger,1
policeman bend lamp,1
chef construct table,1
clown drive car,1
freezer freeze rabbit,1
knife kill infant,1
monkey puff gas,1
elephant slide boat,1
cloth absorb oil,0
knife chop rock,0
grass destroy house,0
child fish fire,0
finger hook train,0
bear pet water,0
hair shake canoe,0
fist tap smoke,0
lion bend mountain,0
clown construct window,0
man drive skyscraper,0
cream freeze fire,0
air kill worm,0
pebbles puff smoke,0
man slide bus,0
