Input,Pred,Gold
"Sudah lumrah jika setiap Jumat, pemuda-pemuda sekitar bergegas untuk menghadiri sholat Jumat. Tidak hanya anak-anak, tetapi juga semua pekerja kantoran berhenti sejenak untuk menghadiri sholat Jumat.. Tapi kini semua berubah, dan sudah 4 bulan lamanya.. Sejak COVID-19 melanda, sholat jumat ditiadakan.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",0,0
"Annie memiliki 5 pasang kaos kaki. Annie memiliki 3 pasang kaos kaki warrna hitam. Annie memiliki 2 pasang kaos kaki warna putih. Annie tidak memiliki kaos kaki lainnya
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",0,0
"Andi terbangun dari tidurnya. Andi melihat jam yang menunjukkan bahwa sudah lewat tengah malam. Andi berjalan menuju kamar mandi. Andi mendengar suara lirih ibunya
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Linda menyambut Nenek dengan gembira.. Sudah lama Linda tidak bertemu Nenek.. Linda sampai lupa kapan terakhir berkumpul bersama Nenek.. Padahal Linda senang sekali jika Nenek datang ke rumah.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Rayap di lemari buku Eki sama sekali tidak terlihat pada awalnya.. Eki mengira bukunya aman disimpan di dalam lemari.. Tampak depan lemari terlihat baik-baik saja, tidak ada kayu yang keropos.. Ternyata rayap masuk dari bagian belakang lemari.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Hanin bekerja di Indomaret. Setiap pagi dia berangkat dari rumah pukul 5 pagi. Dibukanya toko dan ditatanya berbagai produk yang baru masuk. Ia pulang jam 6 sore
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Lampu kamar Sofi tidak dapat menyala lagi. Sofi pergi ke doktor lampu untuk membetulkannya. Doktor lampu adalah sebutan tempat servis lampu di dekat rumah Sofi. Lampu Sofi dapat diperbaiki seperti baru
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Nyamuk yang beterbangan di sekitar kaki Vito membuatnya kesal.. Fokusnya pada film di layar TV jadi teralihkan.. Vito berusaha menepuk nyamuk-nyamuk di kakinya.. Namun tidak ada nyamuk yang berhasil Vito tangkap.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Mixa tidak mau kehilangan Heri. Heri berjanji tidak akan meninggalkan Mixa. Heri akan selalu berada di sisi Mixa. Mixa kembali tenang dan tidak khawatir lagi
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Balapan karung menjadi lomba yang ditunggu-tunggu Fenita setiap tanggal 17 Agustus.. Bukannya Fenita suka mengikuti lomba balap karung.. Fenita suka menontonnya.. Terlebih ketika yang bermain adalah anak-anak kecil.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Afan kehilangan semangat untuk menjalani hari. Afan ingin Hira membantunya . Hira memberikan afeksi kepada Afan. Afan kembali memiliki motivasi untuk hidup
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Tanggal lahir Nadi dan Ana sama.. Setiap tahun, mereka memiliki kebiasaaan untuk selalu merayakannya bersama-sama.. Hari ini Nadi akan pergi ke luar negeri untuk melanjutkan kuliah.. Ana merasa sedih karena tidak bisa lagi merayakan hari ulang tahunnya bersama Nadi.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Faza terpaku menyaksikan peristiwa tabrak lari di depannya.. Ia sempat bingung harus melakukan apa.. Dari dalam mobilnya, Faza melihat orang-orang berlarian menghampiri korban.. Keramaian tersebut membuat Faza sadar, ia segera turun dari mobilnya.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Tembok kamar Wia sudah banyak yang mengelupas.. Wia berencana untuk mengecatnya kembali.. Hari Sabtu nanti ia akan membeli cat dan kuas.. Baru keesokan harinya Wia mengecat seluruh dinding kamarnya.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Bella pergi ke pusat perbelanjaan naik taksi. Setelah selesai belanja, ia ke tempat parkir. Ia bingung mobilnya parkir dimana. Setelah lama mencari, ia baru ingat kalau ia berangkat naik taksi
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Damar mendengarkan ucapan Ibu dengan penuh perhatian.. Sambil mendengarkan, ia menuliskan di kertas apa yang diucapkan Ibu.. Ibu sedang memberi tahu Damar apa saja pesanan Ibu untuk Damar.. Damar akan pergi ke supermarket.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Bagas tertarik pada ilmu biologi. Bagas ingin membuat sesuatu yang baru. Bagas mempelajari tentang bioteknologi. Bagas bergabung dengan ilmuwan terkenal
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",0,0
"Ina kaget mendengar suara tangisan tersedu-sedu dari dalam kamar Ani, adiknya.. Ina lalu mengetuk pintu kamar Ani dan membukanya perlahan.. Ani sedang duduk di atas kasur sambil memeluk guling, dengan laptop terbuka di depannya.. Ina menghampiri Ani untuk melihat ke layar laptop, dan mulutnya membentuk huruf o.
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
"Keina sangat ingin mempunyai piala. Keina mengikuti suatu perlombaan melukis. Pemenang 1,2, dan 3 pada perlombaan tersebut akan mendapatkan piala. Keina mendapatkan juara 2
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",0,0
"Siswa IPS 1 sangat kaget. Hari ini kelas Bahasa Indonesia praktek pembacaan puisi. Reva yang biasanya pemalu membacakan puisi dengan sangat baik. Ia sangat menghayati dan suaranya juga jernih
What sentence is suitable to follow the paragraph above? Answer: [LABELS_CHOICE]",1,0
