0,1,2,3,4,5,falcon-40b-baseline_correct,falcon-40b-baseline_choiceA_probs,falcon-40b-baseline_choiceB_probs,falcon-40b-baseline_choiceC_probs,falcon-40b-baseline_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.3342,0.2473,0.1426,0.276
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.3066,0.2003,0.2115,0.2815
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.2976,0.2164,0.2896,0.1963
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.26,0.2925,0.2041,0.2434
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.2118,0.2888,0.1356,0.3638
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.2153,0.2301,0.275,0.2798
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.2695,0.1562,0.3018,0.2727
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.2496,0.168,0.312,0.2705
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.3518,0.345,0.07574,0.2275
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.3096,0.2527,0.1266,0.3113
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.2178,0.2566,0.2537,0.272
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.1531,0.1898,0.4941,0.163
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.2664,0.297,0.1497,0.2869
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.283,0.2244,0.1693,0.3232
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.2705,0.2874,0.2,0.2421
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.2039,0.3245,0.22,0.2517
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.1919,0.3335,0.2512,0.2231
