Ids,Prompts,Golds
0,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what? A. bank, B. library, C. department store, D. mall, E. new york",A
1,"What do people aim to do at work? A. complete job, B. learn from each other, C. kill animals, D. wear hats, E. talk to each other",A
2,"Where would you find magazines along side many other printed works? A. doctor, B. bookstore, C. market, D. train station, E. mortuary",B
3,"Where are  you likely to find a hamburger? A. fast food restaurant, B. pizza, C. ground up dead cows, D. mouth, E. cow carcus",A
4,"James was looking for a good place to buy farmland.  Where might he look? A. midwest, B. countryside, C. estate, D. farming areas, E. illinois",A
5,"What island country is ferret popular? A. own home, B. north carolina, C. great britain, D. hutch, E. outdoors",C
6,"In what Spanish speaking North American country can you get a great cup of coffee? A. mildred's coffee shop, B. mexico, C. diner, D. kitchen, E. canteen",B
7,"What do animals do when an enemy is approaching? A. feel pleasure, B. procreate, C. pass water, D. listen to each other, E. sing",D
8,"Reading newspaper one of many ways to practice your what? A. literacy, B. knowing how to read, C. money, D. buying, E. money bank",A
9,"What do people typically do while playing guitar? A. cry, B. hear sounds, C. singing, D. arthritis, E. making music",C
10,"What would vinyl be an odd thing to replace? A. pants, B. record albums, C. record store, D. cheese, E. wallpaper",E
11,"If you want harmony, what is something you should try to do with the world? A. take time, B. make noise, C. make war, D. make peace, E. make haste",D
12,"Where does a heifer's master live? A. farm house, B. barnyard, C. stockyard, D. slaughter house, E. eat cake",A
13,"Aside from water and nourishment what does your dog need? A. bone, B. charm, C. petted, D. lots of attention, E. walked",D
14,"Janet was watching the film because she liked what? A. erection, B. laughter, C. being entertained, D. fear, E. bordem",C
15,"What are you waiting alongside with when you're in a reception area? A. motel, B. chair, C. hospital, D. people, E. hotels",D
16,"When drinking booze what can you do to stay busy? A. reach tentative agreement, B. stay in bed, C. stop bicycle, D. examine thing, E. suicide",D
17,"A fencing thrust with a sharp sword towards a person would result in what? A. injury, B. small cuts, C. fever, D. competition, E. puncture wound",E
18,"Unlike a spider and his many sight seers, people only have what? A. tongues, B. names, C. brains, D. feelings, E. two eyes",E
19,"Where do adults use glue sticks? A. classroom, B. desk drawer, C. at school, D. office, E. kitchen drawer",D
20,"What could go on top of wood? A. lumberyard, B. synagogue, C. floor, D. carpet, E. hardware store",D
21,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him? A. sadness, B. anxiety, C. inspiration, D. discomfort, E. insights",C
22,"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what? A. indestructible, B. durable, C. undestroyable, D. indestructible, E. unbreakable",D
23,"Where could you find a toilet that only friends can use? A. rest area, B. school, C. stadium, D. apartment, E. hospital",D
24,"What is someone who isn't clever, bright, or competent called? A. clumsy, B. ineffectual, C. dull, D. clumsy, E. stupid",E
25,"When wildlife reproduce we often refer to what comes out as what? A. raise children, B. have children, C. photo copy, D. offspring, E. accidently got pregnant somehow",D
26,"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what? A. forrest, B. barn, C. public office, D. out of doors, E. freezer",B
27,"Blue read material outside of his comfort zone because he wanted to gain what? A. new perspective, B. entertained, C. understanding, D. hunger, E. tired eyes",A
28,"After he got hired he hoped for success at his what? A. vocation, B. new job, C. michigan, D. working hard, E. manual",B
29,"Committing perjury is a serious what? A. indictment, B. crime, C. violence, D. lie, E. go to jail",B
