Input,Pred,Gold
Write a sentence with [LABELS_CHOICE] sentiment: it 's a charming and often affecting journey . .,1,1
Write a sentence with [LABELS_CHOICE] sentiment: unflinchingly bleak and desperate .,0,0
Write a sentence with [LABELS_CHOICE] sentiment: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . .,1,1
"Write a sentence with [LABELS_CHOICE] sentiment: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . .",1,1
"Write a sentence with [LABELS_CHOICE] sentiment: it 's slow -- very , very slow . .",1,0
"Write a sentence with [LABELS_CHOICE] sentiment: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . .",1,1
Write a sentence with [LABELS_CHOICE] sentiment: a sometimes tedious film . .,0,0
Write a sentence with [LABELS_CHOICE] sentiment: or doing last year 's taxes with your ex-wife . .,0,0
Write a sentence with [LABELS_CHOICE] sentiment: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . .,1,1
"Write a sentence with [LABELS_CHOICE] sentiment: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . .",0,0
Write a sentence with [LABELS_CHOICE] sentiment: the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . .,1,1
"Write a sentence with [LABELS_CHOICE] sentiment: it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . .",0,0
Write a sentence with [LABELS_CHOICE] sentiment: ... the film suffers from a lack of humor ( something needed to balance out the violence ) ... .,0,0
"Write a sentence with [LABELS_CHOICE] sentiment: we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . .",1,1
Write a sentence with [LABELS_CHOICE] sentiment: even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . .,1,0
"Write a sentence with [LABELS_CHOICE] sentiment: a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . .",1,1
Write a sentence with [LABELS_CHOICE] sentiment: the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . .,0,1
"Write a sentence with [LABELS_CHOICE] sentiment: audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . .",1,1
Write a sentence with [LABELS_CHOICE] sentiment: ... the movie is just a plain old monster . .,1,0
"Write a sentence with [LABELS_CHOICE] sentiment: in its best moments , resembles a bad high school production of grease , without benefit of song . .",0,0
"Write a sentence with [LABELS_CHOICE] sentiment: pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . .",1,0
Write a sentence with [LABELS_CHOICE] sentiment: the iditarod lasts for days - this just felt like it did . .,1,0
Write a sentence with [LABELS_CHOICE] sentiment: holden caulfield did it better . .,0,0
"Write a sentence with [LABELS_CHOICE] sentiment: a delectable and intriguing thriller filled with surprises , read my lips is an original . .",0,1
Write a sentence with [LABELS_CHOICE] sentiment: seldom has a movie so closely matched the spirit of a man and his work . .,1,1
"Write a sentence with [LABELS_CHOICE] sentiment: nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . .",1,0
"Write a sentence with [LABELS_CHOICE] sentiment: the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . .",1,0
Write a sentence with [LABELS_CHOICE] sentiment: it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . .,1,1
"Write a sentence with [LABELS_CHOICE] sentiment: it 's a cookie-cutter movie , a cut-and-paste job . .",1,0
Write a sentence with [LABELS_CHOICE] sentiment: i had to look away - this was god awful . .,0,0
"Write a sentence with [LABELS_CHOICE] sentiment: thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . .",1,1
"Write a sentence with [LABELS_CHOICE] sentiment: ... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . .",0,0
"Write a sentence with [LABELS_CHOICE] sentiment: a gorgeous , witty , seductive movie . .",0,1
"Write a sentence with [LABELS_CHOICE] sentiment: if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . .",1,0
"Write a sentence with [LABELS_CHOICE] sentiment: it does n't believe in itself , it has no sense of humor ... it 's just plain bored . .",1,0
Write a sentence with [LABELS_CHOICE] sentiment: a sequence of ridiculous shoot - 'em - up scenes . .,1,0
"Write a sentence with [LABELS_CHOICE] sentiment: the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . .",1,1
"Write a sentence with [LABELS_CHOICE] sentiment: ( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . .",0,0
