Input,Pred,Gold
Pria itu memangku tasnya saat menaiki angkutan umum. What was the cause? [LABELS_CHOICE],1,0
Kulitnya bentol-bentol. What was the cause? [LABELS_CHOICE],0,0
Bapak saya masuk angin. What was the cause? [LABELS_CHOICE],0,1
Jari bocah itu sakit. What was the cause? [LABELS_CHOICE],1,1
Dia sedih. What was the cause? [LABELS_CHOICE],0,0
Ibu itu begitu bahagia. What was the cause? [LABELS_CHOICE],0,0
Orang itu makan nasi porsi kuli. What was the cause? [LABELS_CHOICE],0,1
Ia merasa geli. What was the cause? [LABELS_CHOICE],1,0
Ia tidak naik kelas. What was the cause? [LABELS_CHOICE],0,0
Pria itu baru saja selesai solat berjamaah. Ia terkejut. What was the cause? [LABELS_CHOICE],1,1
Gadis itu ikut latihan saman. What was the cause? [LABELS_CHOICE],1,1
Pemuda itu makan di warteg. What was the cause? [LABELS_CHOICE],1,1
KPR bapak macet. What was the cause? [LABELS_CHOICE],0,0
Kakak menjuarai lomba gurindam. What was the cause? [LABELS_CHOICE],1,1
Bapak itu memesan ojek. What was the cause? [LABELS_CHOICE],0,1
Ibu kos datang. What was the cause? [LABELS_CHOICE],0,1
Mahasiswa itu terlihat gugup. What was the cause? [LABELS_CHOICE],0,1
Ia berlatih gerakan kuda-kuda. What was the cause? [LABELS_CHOICE],1,0
Kakinya kapalan. What was the cause? [LABELS_CHOICE],1,1
Pengusaha kelas kakap itu akhirnya jatuh juga. What was the cause? [LABELS_CHOICE],1,0
Wanita itu sangat ingin menjadi artis. What happened as a result? [LABELS_CHOICE],0,1
Mahasiswa itu ketahuan titip absen. What happened as a result? [LABELS_CHOICE],0,1
Siswa SMA itu rambutnya gondrong. What happened as a result? [LABELS_CHOICE],0,0
Pak ogah membantu mobilnya putar balik. What happened as a result? [LABELS_CHOICE],0,0
Pengunjung itu memberikan tip 5% ke pelayan. What happened as a result? [LABELS_CHOICE],0,1
Banyak sekali pungli sepanjang perjalanan. What happened as a result? [LABELS_CHOICE],1,0
Ia ingin memberbaharui SIM-C miliknya. What happened as a result? [LABELS_CHOICE],1,0
Sopir truk jarak jauh itu bosan. What happened as a result? [LABELS_CHOICE],1,0
Pemuda tersebut berlatih angklung setiap hari. What happened as a result? [LABELS_CHOICE],0,0
Segerombolan pemuda sedang menjelajah Kalimantan. What happened as a result? [LABELS_CHOICE],0,0
Saya minum air kobokan. What happened as a result? [LABELS_CHOICE],0,1
Got di komplek perumahaan itu tersumbat. What happened as a result? [LABELS_CHOICE],0,1
"Hari senin, anak SD itu bangun jam 6 pagi. What happened as a result? [LABELS_CHOICE]",1,0
Ia didatangi pengamen. What happened as a result? [LABELS_CHOICE],1,0
Banyak pembegalan di sekitar komplek. What happened as a result? [LABELS_CHOICE],0,1
Pelajar itu ingin menembak temannya di sekolah. What happened as a result? [LABELS_CHOICE],0,0
Anak itu ingin sekali makan nasi dan ayam goreng tepung. What happened as a result? [LABELS_CHOICE],1,1
Ada kasus demam berdarah di komplek itu. What happened as a result? [LABELS_CHOICE],1,0
Kakinya terkilir. What happened as a result? [LABELS_CHOICE],0,0
Terlihat layang-layang putus. What happened as a result? [LABELS_CHOICE],1,1
Alergi kacangnya kumat dan ia gatal-gatal. What was the cause? [LABELS_CHOICE],0,1
Orang itu menangis kepedasan. What was the cause? [LABELS_CHOICE],0,0
Listrik di rumahnya padam. What was the cause? [LABELS_CHOICE],0,0
Ia kehabisan tinta kuning. What was the cause? [LABELS_CHOICE],0,1
Anak kecil itu menjerit ketakutan. What was the cause? [LABELS_CHOICE],0,1
Bapak itu merantau ke Jakarta. What was the cause? [LABELS_CHOICE],0,1
Pemuda itu dilarikan ke rumah sakit. What was the cause? [LABELS_CHOICE],1,0
Ia masuk ke Indomaret. What was the cause? [LABELS_CHOICE],1,1
Ibu pergi ke Pasar Minggu. What was the cause? [LABELS_CHOICE],1,0
Ia merasa gelisah. What was the cause? [LABELS_CHOICE],0,0
Ibu beli beras ketan. What was the cause? [LABELS_CHOICE],0,1
Perempuan itu pergi ke Gambir. What was the cause? [LABELS_CHOICE],0,1
Wanita itu pergi ke Puncak. What was the cause? [LABELS_CHOICE],0,0
Bapak itu senang sekali. What was the cause? [LABELS_CHOICE],0,0
Ia rajin angkat beban. What was the cause? [LABELS_CHOICE],1,0
Ia pergi ke Soekarno Hatta. What was the cause? [LABELS_CHOICE],1,1
Anak itu ketakutan. What was the cause? [LABELS_CHOICE],0,1
Anak itu menjerit histeris. What was the cause? [LABELS_CHOICE],0,0
Ia berurusan dengan polisi. What was the cause? [LABELS_CHOICE],0,1
Pria itu memperbaharui KK miliknya. What was the cause? [LABELS_CHOICE],1,1
Dokternya menyarankannya untuk mengurangi konsumsi karbohidrat. What happened as a result? [LABELS_CHOICE],1,0
Ia ingin pergi jalan-jalan ke Ancol. What happened as a result? [LABELS_CHOICE],1,1
Ia ingin mencari buku bacaan baru. What happened as a result? [LABELS_CHOICE],1,1
Orang itu sangat mengidolakan Gatot Kaca. What happened as a result? [LABELS_CHOICE],1,1
Ia diminta membuat laporan tentang pahlawan nasional. What happened as a result? [LABELS_CHOICE],1,0
Saya tidak sengaja menumpahkan kuah gulai. What happened as a result? [LABELS_CHOICE],0,1
Hari ini adalah hari libur Idul Fitri. What happened as a result? [LABELS_CHOICE],0,0
Diadakan acara keroncong di kampung. What happened as a result? [LABELS_CHOICE],0,1
Kakakku mengidolakan Joko Anwar. What happened as a result? [LABELS_CHOICE],0,1
Kakakku mengidolakan Joko Widodo. What happened as a result? [LABELS_CHOICE],0,0
Siswa SMA itu ingin sekali melanjutkan pendidikan di ITB. What happened as a result? [LABELS_CHOICE],0,1
Bapak terlalu banyak mengonsumsi Gudang Garam. What happened as a result? [LABELS_CHOICE],0,0
Sekumpulan anak melompat-lompat di TransJakarta. What happened as a result? [LABELS_CHOICE],0,0
Sekumpulan anak melompat-lompat di Trans Studio. What happened as a result? [LABELS_CHOICE],0,1
Ia makan es teler setiap hari. What happened as a result? [LABELS_CHOICE],0,0
Aplikasi QRIS-nya rusak. What happened as a result? [LABELS_CHOICE],1,1
Ia ingin mendapatkan kursi DPR. What happened as a result? [LABELS_CHOICE],0,0
Pemudi itu ingin sekali makan nasi padang. What happened as a result? [LABELS_CHOICE],1,1
Anak itu berjalan kaki mengelilingi Taman Mini. What happened as a result? [LABELS_CHOICE],1,1
Ia ganteng. What happened as a result? [LABELS_CHOICE],1,1
Polisi mengamankan stadion. What was the cause? [LABELS_CHOICE],1,0
Mereka sekeluarga sehari-hari makan raskin. What was the cause? [LABELS_CHOICE],0,0
Rambut gadis itu seperti mak lampir. What was the cause? [LABELS_CHOICE],0,0
Laporan BMKG membuat warga panik. What was the cause? [LABELS_CHOICE],1,1
Ia senang tinggal di Kebon Jeruk. What was the cause? [LABELS_CHOICE],1,0
Ia tidak suka tinggal di Kelapa Gading. What was the cause? [LABELS_CHOICE],1,1
Mahasiswa sedang mengumpulkan dana untuk kegiatan mahasiswa. What was the cause? [LABELS_CHOICE],1,0
Tiba-tiba bapak didatangi rentenir. What was the cause? [LABELS_CHOICE],1,0
Dia dibawa ke rumah sakit. What was the cause? [LABELS_CHOICE],1,0
Ia dirujak teman-temannya. What was the cause? [LABELS_CHOICE],0,1
Anak itu diterima masuk UI. What happened as a result? [LABELS_CHOICE],1,1
Ibu belanja di pasar. What happened as a result? [LABELS_CHOICE],1,1
Anak itu ingin merantau. What happened as a result? [LABELS_CHOICE],1,0
Kelakuannya seperti dajjal. What happened as a result? [LABELS_CHOICE],1,0
Orang itu mengalami kecelakaan mobil. What happened as a result? [LABELS_CHOICE],0,0
"Ibu menyampurkan gula, garam, dan jeruk di masakannya. What happened as a result? [LABELS_CHOICE]",0,0
Aku sedang berhemat. What happened as a result? [LABELS_CHOICE],0,0
Saya terlambat masuk kantor. What happened as a result? [LABELS_CHOICE],0,1
