Input,Pred,Gold
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Barbara Bailey is the queen of broadcast news in central & eastern Kentucky    After growing up watching her anchor the news, it was a great honor to call her coworker & friend. I loved saying “back to you, Barb” while reporting.  Cheers, {{USERNAME}} {{URL}} . 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
start the 20-21 school year off POSITIVE! let’s start a thread of all the good things this year has to offer... i’ll start- you all have the same lunch period as your friends! be sure to facetime each other at 12:05 i tag the queen of OB positivity {{USERNAME}} ⚔️. 
Topic: [LABELS_CHOICE]",3,3
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Philadelphia clearly didn’t take a page out of the {{USERNAME}} Game 7 playbook of firing everything on net, make the opposing goalie beat you.   There’s 6 minutes left and the Flyers have 16 shots. 
Topic: [LABELS_CHOICE]",3,4
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
I’m sure the {@Tampa Bay Lightning@} would’ve rather faced the Flyers but man does their experience versus the Blue Jackets this year and last help them a lot versus this Islanders team. Another meat grinder upcoming for the good guys. 
Topic: [LABELS_CHOICE]",3,4
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Tizamagician puts the cherry on top of the Kentucky Derby day winner s pie for {{USERNAME}} and {{USERNAME}} , taking the Del Mar finale for Richard Mandella. The Tiznow colt was sent to Dubai to contest the UAE Derby, a race that was cancelled on the World Cup program.. 
Topic: [LABELS_CHOICE]",3,4
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
The flyers gave me false hope just to get absolutely destroyed. Islanders are gonna get destroyed by a real team next series.  {@Philadelphia Flyers@} think it’s time to make some huge moves this offseason ‍♂️ just saying. 
Topic: [LABELS_CHOICE]",2,4
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Worth watching at least the 1st 10mins if I was {@WA Police Force@} Minister {@Michelle Roberts MP@} . I d love 1 if I was a {@WA Police Traffic@} officer. Only problem I see is lack of DC fast charging in Western  {@Ben Wyatt@} {@Bill Johnston@} {@Rita Saffioti@} {{USERNAME}} {{URL}}. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
The flyers had a tremendous season even with everything they faced and I’m so excited for next season. They’re only gonna get better! Thank you {@Philadelphia Flyers@} for an unforgettable season. 
Topic: [LABELS_CHOICE]",4,4
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
There s regular people and then there s {@Bailey Sarian@} being the Queen of EVERYTHING.. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Love to take night time bike rides at the jersey shore. Seaside Heights boardwalk. Beautiful weather. Wishing everyone a safe Labor Day weekend in the US. Photo {{USERNAME}} {{URL}}. 
Topic: [LABELS_CHOICE]",3,3
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Lordt they dun turned {@Mary J Blige@} into The Queen of the Goons ❤ #PowerBook2 #loveherregardless. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
POWER BOOK 2 EPISODE 1 RECAP {{URL}} via {@YouTube@} #PowerGhost #PowerBook2 #PowerStarz #powertv. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Up with new grace, truly sorry on behalf of {@Erica Nlewedim@} ! We don’t endorse bad behavior, however we don’t un-Stan the Queen for we know that she will come to realization of her wrong and apologize!   Can you guys cut down on alcohol intake or stop it completely? Sigh ‍♂️. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
I just earned the  God Save the Queen (Level 7)  badge on {{USERNAME}} ! {{URL}}. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
I m still ticked at {@NBC Sports@} for moving a NASCAR race that was still going for the Kentucky Derby.  I m not as mad about missing the end of the race.  I m more mad that NBC now thinks so little of NASCAR that it s just another sport in their portfolio and expendable if needed.. 
Topic: [LABELS_CHOICE]",3,4
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
POWER BOOK 2 EPISODE 1 REVIEW!! (MY THOUGHTS) {{URL}} via {@YouTube@} #PowerGhost #PowerBook2 #PowerNeverEnds #PowerStarz. 
Topic: [LABELS_CHOICE]",2,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
YT: falsely strikes {@Charlie@} YT: realizes they havent striked anyone Else for same video. Proceeds to strike {@Mark@} to make the 1st strike seem legit. admits mistake, unstrikes in 1 Day. U think this is first time? Ive told support this resulted in my ban for 1.5 years. 
Topic: [LABELS_CHOICE]",2,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Another 90 mins for the 1st’s under our belts and again plenty of positives!   Thanks to {@Wythenshawe Amateurs@} for having us. 2-2 it finished. After being 2 up a little disappointed we didn’t come away with more!  Awaiting news on our first {{USERNAME}} fixture..... 
Topic: [LABELS_CHOICE]",3,4
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Babyyyyyyy y’all better call {@Viola Davis@} the queen knows what she is doing !  #HTGAWM  #PowerGhost. 
Topic: [LABELS_CHOICE]",2,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Queen {@Aditi Rao Hydari@} is replying to many I hope the queenwill also reply me #V. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
 you cannot simultaneously prepare and prevent for death- Einstein .... Sorry that was war . The great range of #LoganEcholls and {{USERNAME}} is always impressive,be it in the 1st season or the 4th. Love how the characters in this show are all multidimensional.. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
Different COVID Landscape Increases Risk Of Post-Labor Day Weekend Spike... {{URL}} via {@YouTube@} #RachelMaddow. 
Topic: [LABELS_CHOICE]",3,2
"Write a sentence about [LABELS_CHOICE]: [PREMISE].Categorise the following tweets: 
10 Side Hustle Skills You Can Master During This Labor Day Weekend via {@Entrepreneur@} {@Entrepreneur@} {{URL}}. 
Topic: [LABELS_CHOICE]",3,1
