0,1,2,3,4,5,falcon-7b-lang-3_correct,falcon-7b-lang-3_choiceA_probs,falcon-7b-lang-3_choiceB_probs,falcon-7b-lang-3_choiceC_probs,falcon-7b-lang-3_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.4753,0.1478,0.3057,0.0709
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.4116,0.1715,0.3071,0.1099
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.442,0.1937,0.2374,0.1271
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.365,0.1348,0.3362,0.164
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.456,0.2072,0.2517,0.085
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.2954,0.1736,0.3806,0.1503
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.6064,0.1492,0.1984,0.0462
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.3733,0.2069,0.3333,0.0866
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.362,0.2145,0.2966,0.1271
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.398,0.2081,0.3125,0.0815
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.3708,0.2703,0.2778,0.0812
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.4255,0.1732,0.2993,0.10187
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.4104,0.1786,0.3098,0.1013
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.4507,0.1807,0.2607,0.10785
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.5176,0.163,0.2158,0.1036
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.3042,0.2242,0.3713,0.1003
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.3801,0.2244,0.3042,0.0914
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.4082,0.1951,0.3093,0.0873
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.4414,0.1526,0.3206,0.0856
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,True,0.3865,0.1735,0.2974,0.1427
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.4507,0.1871,0.2441,0.11804
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.539,0.1605,0.2373,0.06335
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.4092,0.1774,0.258,0.1553
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.3855,0.1724,0.331,0.11127
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.4692,0.1635,0.2869,0.0803
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,True,0.386,0.2183,0.295,0.1007
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.421,0.192,0.2986,0.08856
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.4407,0.1881,0.2822,0.08887
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.4246,0.187,0.3108,0.07764
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.4915,0.1794,0.253,0.076
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.5117,0.1642,0.2544,0.0695
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.4902,0.1537,0.2615,0.09467
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,True,0.5283,0.1484,0.2534,0.0696
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.3704,0.2566,0.2688,0.10443
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.4546,0.1774,0.29,0.07806
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,False,0.3313,0.1609,0.3555,0.1523
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,True,0.4312,0.1587,0.2805,0.1295
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,False,0.501,0.2189,0.2106,0.0694
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.3535,0.2246,0.3218,0.1001
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.411,0.1465,0.2996,0.1431
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,False,0.4558,0.244,0.2196,0.08044
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,False,0.4233,0.1533,0.311,0.1122
